"n","iter","seed","W"
15,1,15001,0.478857142857143
15,2,15002,0.439714285714286
15,3,15003,0.324214285714286
15,4,15004,0.786214285714286
15,5,15005,0.762571428571429
15,6,15006,0.444
15,7,15007,0.459214285714286
15,8,15008,0.7725
15,9,15009,0.794285714285714
15,10,15010,0.306571428571429
15,11,15011,0.625071428571429
15,12,15012,0.7825
15,13,15013,0.851642857142857
15,14,15014,0.588571428571429
15,15,15015,0.643928571428571
15,16,15016,0.617428571428571
15,17,15017,0.477714285714286
15,18,15018,0.777357142857143
15,19,15019,0.7655
15,20,15020,0.746214285714286
15,21,15021,0.428571428571429
15,22,15022,0.705714285714286
15,23,15023,0.886214285714286
15,24,15024,0.371428571428571
15,25,15025,0.6245
15,26,15026,0.6975
15,27,15027,0.641428571428571
15,28,15028,0.766285714285714
15,29,15029,0.8225
15,30,15030,0.806
15,31,15031,0.808571428571429
15,32,15032,0.528214285714286
15,33,15033,0.728071428571429
15,34,15034,0.8855
15,35,15035,0.7225
15,36,15036,0.881071428571429
15,37,15037,0.396285714285714
15,38,15038,0.758357142857143
15,39,15039,0.623571428571429
15,40,15040,0.823142857142857
15,41,15041,0.712571428571429
15,42,15042,0.671428571428571
15,43,15043,0.436071428571429
15,44,15044,0.650142857142857
15,45,15045,0.787642857142857
15,46,15046,0.805428571428571
15,47,15047,0.373714285714286
15,48,15048,0.38
15,49,15049,0.791928571428571
15,50,15050,0.7065
15,51,15051,0.644857142857143
15,52,15052,0.797714285714286
15,53,15053,0.888571428571429
15,54,15054,0.7875
15,55,15055,0.814642857142857
15,56,15056,0.697142857142857
15,57,15057,0.828428571428571
15,58,15058,0.406642857142857
15,59,15059,0.691571428571429
15,60,15060,0.900357142857143
15,61,15061,0.832
15,62,15062,0.829571428571429
15,63,15063,0.691857142857143
15,64,15064,0.322285714285714
15,65,15065,0.697142857142857
15,66,15066,0.600857142857143
15,67,15067,0.583214285714286
15,68,15068,0.740285714285714
15,69,15069,0.792428571428571
15,70,15070,0.733714285714286
15,71,15071,0.716642857142857
15,72,15072,0.613571428571429
15,73,15073,0.8
15,74,15074,0.742
15,75,15075,0.697428571428571
15,76,15076,0.431071428571429
15,77,15077,0.766214285714286
15,78,15078,0.828571428571429
15,79,15079,0.696642857142857
15,80,15080,0.787928571428571
15,81,15081,0.650357142857143
15,82,15082,0.879928571428571
15,83,15083,0.904
15,84,15084,0.377142857142857
15,85,15085,0.871714285714286
15,86,15086,0.400214285714286
15,87,15087,0.881928571428571
15,88,15088,0.8565
15,89,15089,0.863571428571429
15,90,15090,0.811214285714286
15,91,15091,0.825428571428571
15,92,15092,0.788285714285714
15,93,15093,0.853714285714286
15,94,15094,0.382785714285714
15,95,15095,0.671642857142857
15,96,15096,0.376857142857143
15,97,15097,0.832142857142857
15,98,15098,0.850428571428571
15,99,15099,0.851214285714286
15,100,15100,0.6935
15,101,15101,0.719428571428571
15,102,15102,0.674571428571429
15,103,15103,0.775928571428571
15,104,15104,0.354857142857143
15,105,15105,0.869714285714286
15,106,15106,0.765214285714286
15,107,15107,0.8665
15,108,15108,0.795142857142857
15,109,15109,0.749714285714286
15,110,15110,0.667071428571429
15,111,15111,0.891142857142857
15,112,15112,0.864571428571429
15,113,15113,0.517928571428571
15,114,15114,0.671142857142857
15,115,15115,0.456071428571429
15,116,15116,0.738071428571429
15,117,15117,0.800214285714286
15,118,15118,0.8345
15,119,15119,0.658857142857143
15,120,15120,0.805214285714286
15,121,15121,0.788928571428571
15,122,15122,0.677428571428571
15,123,15123,0.494428571428571
15,124,15124,0.786857142857143
15,125,15125,0.8035
15,126,15126,0.3655
15,127,15127,0.871642857142857
15,128,15128,0.384428571428571
15,129,15129,0.877357142857143
15,130,15130,0.391071428571429
15,131,15131,0.374142857142857
15,132,15132,0.510571428571429
15,133,15133,0.599071428571429
15,134,15134,0.683428571428571
15,135,15135,0.850214285714286
15,136,15136,0.8275
15,137,15137,0.453428571428571
15,138,15138,0.667214285714286
15,139,15139,0.461428571428571
15,140,15140,0.896857142857143
15,141,15141,0.373142857142857
15,142,15142,0.849214285714286
15,143,15143,0.730857142857143
15,144,15144,0.395428571428571
15,145,15145,0.670857142857143
15,146,15146,0.472071428571429
15,147,15147,0.634714285714286
15,148,15148,0.558285714285714
15,149,15149,0.399928571428571
15,150,15150,0.785285714285714
15,151,15151,0.5015
15,152,15152,0.9005
15,153,15153,0.856642857142857
15,154,15154,0.367142857142857
15,155,15155,0.811714285714286
15,156,15156,0.6145
15,157,15157,0.651428571428571
15,158,15158,0.738285714285714
15,159,15159,0.723214285714286
15,160,15160,0.384857142857143
15,161,15161,0.838357142857143
15,162,15162,0.801214285714286
15,163,15163,0.484857142857143
15,164,15164,0.8515
15,165,15165,0.783428571428571
15,166,15166,0.8875
15,167,15167,0.753642857142857
15,168,15168,0.790071428571429
15,169,15169,0.785642857142857
15,170,15170,0.727642857142857
15,171,15171,0.747428571428571
15,172,15172,0.570214285714286
