"","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF"
"IQS_ANOVA",1,0.5927,0.7824,0.5886,0.6025
"IQS_Fuzzy",0.5927,1,0.679,0.9951,0.9949
"IQS_PLS",0.7824,0.679,1,0.6807,0.6846
"IQS_MARS",0.5886,0.9951,0.6807,1,0.9934
"IQS_RF",0.6025,0.9949,0.6846,0.9934,1
