"n","mean_W","sd_W","median_W","q025","q975","n_valid","log_n"
15,0.683385,0.166778622588194,0.735107142857143,0.365233928571429,0.891264285714286,200,2.70805020110221
30,0.774660289210234,0.122865872940926,0.812943270300334,0.422933926585095,0.906494771968854,200,3.40119738166216
50,0.78179493877551,0.112492109146793,0.812465786314526,0.444596638655462,0.897937767106843,200,3.91202300542815
75,0.790312193456615,0.106066462064944,0.814458321479374,0.455759658605974,0.896064807965861,200,4.31748811353631
100,0.785348355235524,0.119764989107474,0.81645100510051,0.436135067506751,0.897519483948395,200,4.60517018598809
