"","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF"
"IQS_ANOVA",1,0.2686,0.5858,0.2764,0.2856
"IQS_Fuzzy",0.2686,1,0.723,0.9941,0.9942
"IQS_PLS",0.5858,0.723,1,0.7177,0.743
"IQS_MARS",0.2764,0.9941,0.7177,1,0.992
"IQS_RF",0.2856,0.9942,0.743,0.992,1
