"Combo","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","MetaIQS_Borda","Rank_IQS_ANOVA","Rank_IQS_Fuzzy","Rank_IQS_PLS","Rank_IQS_MARS","Rank_IQS_RF"
"MT_Pigeon pea",6.81224614004799,6.43163005173773,8.22890771222556,6.44267888233779,6.44364644902654,93.6888888888889,1,1,1,1,1
"MT_Sunn hemp",5.19183047289551,5.59048236476469,7.12384351971419,5.57892114949716,5.57075776284627,69.9777777777778,3,4,2,4,3
"MT_Millet",5.10233828526118,5.47339758553019,6.18192623285496,5.48910177240212,5.46060880537727,68.8,4,5,3,5,5
"CT_Cowpea",3.30122347677699,5.88446456542357,4.24125641938788,5.91401149962794,5.90397982864116,66.4222222222222,8,2,7,2,2
"MT_Cowpea",4.79724158417994,5.38624799066182,5.92986400456764,5.39202285231037,5.3884465645918,66.2888888888889,5,6,4,6,6
"NT_Pigeon pea",5.7680487456571,5.59280481963626,4.99293312163948,5.59324246708576,5.56869250461205,65.8888888888889,2,3,5,3,4
"NT_Millet",3.33322418900887,5.30942607666074,4.57514513712196,5.32401780123987,5.26890977475844,55.6444444444444,7,7,6,7,7
"NT_Sunn hemp",3.89114246351857,5.17502469183448,4.1393050502471,5.13883721487823,5.18764359304069,50.9111111111111,6,8,8,8,8
"CT_Sunn hemp",1.8186636517911,4.87073293008406,3.10613579938783,4.85767011067402,4.85963450513068,36.4222222222222,10,9,10,9,9
"NT_Cowpea",2.4516857669,4.45053913481822,3.52770987388899,4.46527382492337,4.44168744845892,34.6444444444444,9,10,9,10,10
"CT_Millet",1.1708434969233,4.40445036933605,1.519685304039,4.31770729124901,4.43851883948743,24.4222222222222,11,11,11,12,11
"CT_Pigeon pea",0.988429891218537,4.30958777091726,0.48942029808327,4.36530348517944,4.33250933934934,20.8888888888889,12,12,12,11,12
