"Path","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI","Bootstrap P Val"
"FISICO  ->  REND",-0.122089844611619,-0.0132751762708245,0.160096775355275,-0.762600273120344,-0.279622282111602,0.248667012217048,0.992
"QUIMICO  ->  REND",0.0974291217534901,0.104265479815552,0.102428990863446,0.951186972869606,-0.139892849002449,0.284124347608214,0.264
"MICRO  ->  REND",0.17535387780661,0.119013130670613,0.126605362303694,1.38504305517471,-0.21965411253535,0.281144263509851,0.284
"AGRO  ->  REND",0.621789993170894,0.608031440934927,0.0505640345240788,12.2970803066515,0.501396875341811,0.702323118488747,0
