"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","IQS_ANOVA_blom","IQS_Fuzzy_blom","IQS_PLS_blom","IQS_MARS_blom","IQS_RF_blom","MetaIQS_Borda"
"NT","Cowpea",4.1864690621203,5.24521674463874,4.2687,5.32318228530117,5.16896317878524,0.104633455614075,0.0348213172603476,0.151438742677196,0.19857834735111,0.0116050210127303,58.8
"NT","Cowpea",4.30388716100839,5.24521674463874,4.4032,5.31938150237035,5.19716635991332,0.151438742677196,0.0348213172603476,0.246163646661359,0.174959940165732,0.0348213172603476,60
"NT","Cowpea",6.17101810036205,5.24521674463874,3.922,5.3183676320907,5.24386707539661,0.659991538619561,0.0348213172603476,0.0580563997946523,0.151438742677196,0.174959940165732,63.4
"NT","Cowpea",3.27492541129088,4.1914925940812,2.728,4.20206191262984,4.19870532528612,-0.222308065187877,-0.780349497982251,-0.603319299671101,-0.812217801499913,-0.844933179293064,28.8
"NT","Cowpea",3.21805877387371,4.18746952945705,3.1701,4.22995803333896,4.21238148273373,-0.246163646661359,-0.812217801499913,-0.443495452975006,-0.780349497982251,-0.780349497982251,30.2
"NT","Cowpea",3.33622103596889,4.14567147398812,2.6352,4.17123898581355,4.19872989340818,-0.19857834735111,-0.844933179293064,-0.631401894239761,-0.844933179293064,-0.812217801499913,28.4
"NT","Cowpea",2.9957101014639,3.88916825523419,3.3969,3.85941054995598,3.93146504098915,-0.318639363964375,-0.986120318603346,-0.270160165313734,-0.949055092751712,-0.986120318603346,27.8
"NT","Cowpea",2.6369752423601,3.94801190944643,3.3498,3.83355709600917,3.97214686055788,-0.631401894239761,-0.949055092751712,-0.343155498201741,-1.0245923925401,-0.913249926683609,25
"NT","Cowpea",2.59087070988663,3.95738821724076,3.1921,3.89768578060379,3.95262638694867,-0.689131147209014,-0.913249926683609,-0.392830813649729,-0.913249926683609,-0.949055092751712,24.8
"NT","Millet",2.850836684292,3.83592219901143,3.4659,3.83360864575094,3.89765530370734,-0.443495452975006,-1.06464405193839,-0.222308065187877,-0.986120318603346,-1.06464405193839,26.2
"NT","Millet",2.06883717389553,4.05432798556413,3.396,4.00875127664107,4.04120451816359,-0.949055092751712,-0.87857891994897,-0.294313289581477,-0.87857891994897,-0.87857891994897,24.8
"NT","Millet",2.93147831328343,3.75,3.8587,3.80706652220306,3.91499611532061,-0.343155498201741,-1.15034938037601,-0.0116050210127303,-1.06464405193839,-1.0245923925401,28.2
"NT","Millet",4.03400416033249,4.96450843252256,3.5667,4.9460837551792,4.8357884994901,0.0580563997946523,-0.0813228717724495,-0.174959940165732,-0.174959940165732,-0.222308065187877,49.4
"NT","Millet",5.58381555783438,5.03751431521973,3.6629,4.90353693104781,4.92252270074156,0.5217393083884,-0.0348213172603477,-0.104633455614075,-0.222308065187877,-0.19857834735111,54
"NT","Millet",3.40823788020135,4.7225604846276,4.4369,4.90804734377972,4.75896188962335,-0.151438742677196,-0.270160165313734,0.270160165313734,-0.19857834735111,-0.270160165313734,49.2
"NT","Millet",5.24104472655236,7.11865567234846,6.2387,7.02927675912288,6.99518845790415,0.367879665820457,1.41384503483369,0.718868052822716,1.19655132690156,1.55322089800153,90.2
"NT","Millet",5.18142765963504,7.15427938096555,5.1426,7.17658329794367,7.02823132303054,0.343155498201741,1.8465332589292,0.443495452975006,1.8465332589292,1.99268184795863,91.6
