Parcela,Cowpea,Millet,Pigeon pea,Sunn hemp
CT,5.8844645654235705,4.404450369336055,4.309587770917263,4.870732930084064
MT,5.386247990661822,5.473397585530194,6.4316300517377325,5.590482364764687
NT,4.450539134818219,5.309426076660744,5.59280481963626,5.175024691834478
