"FISICO","QUIMICO","MICRO","AGRO","REND","Indicator"
0.0680579003520467,0,0,0,0,"DMG"
0.0864946996989542,0,0,0,0,"ECOS"
0.152825310831507,0,0,0,0,"NAG"
0.0305095136833068,0,0,0,0,"ICV"
-0.30065941476332,0,0,0,0,"MI"
0.68362480319331,0,0,0,0,"MA"
0.178187881294635,0,0,0,0,"VIB"
0.314287368682266,0,0,0,0,"RP"
1.19968059266308,0,0,0,0,"ADPT"
0,-0.365288323322948,0,0,0,"PH"
0,-0.507926243509122,0,0,0,"PHOS"
0,-0.0435653880552354,0,0,0,"KPOT"
0,0.096259808358094,0,0,0,"MG"
0,-0.197336349202423,0,0,0,"CTC"
0,0.618089321044202,0,0,0,"ESTN"
0,0,-0.580279237848852,0,0,"QMIC"
0,0,0.357485761957624,0,0,"QCO2"
0,0,-0.246436454132139,0,0,"CCO2"
0,0,0.927074037996419,0,0,"NMIC"
0,0,0,0.600597265681038,0,"ALT"
0,0,0,0.123966359192602,0,"DESP"
0,0,0,0.336905140343026,0,"CESP"
0,0,0,0.529405579161847,0,"STND"
0,0,0,0,0.534113212507892,"NESP"
0,0,0,0,0.642796094082179,"PESP"
