"Parcela","Mean_COS","Mean_ARQ","Mean_STAND","Mean_Yield"
"CT",4.98907109004953,3.51913887782171,4.2733322572618,3.68686868686869
"NT",4.97916644791671,4.60120510278516,4.90710922691234,3.68686868686869
