Parcela,Cultura,DMG,DMP,RMP,Densidade,Estoque de C,Na,ICV(%),Altura de Plantas,Diâmetro espiga,Comprimento espiga,Número de plantas_ha,N total de espigas_ha,N de espigas comerciais_ha,Peso de espigas comerciais_ha,Produtividade,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque de C_norm,Na_norm,ICV(%)_norm,Altura de Plantas_norm,Diâmetro espiga_norm,Comprimento espiga_norm,Número de plantas_ha_norm,N total de espigas_ha_norm,N de espigas comerciais_ha_norm,Peso de espigas comerciais_ha_norm,Produtividade_norm,COS,ARQ,STAND,IPACSA,Parcela_Cultura
NT,Cowpea,-0.5962372778847748,-0.8949947545004238,-0.7456160161925993,-0.4726268487415444,-0.4983538619894255,10.4,-0.08027460283498654,2,55.2,18.4,13666.666666666666,12500,10000,2213.3333333333335,10000,0.09617676074192857,0.10487843879373523,9.891348447108719,9.949044959340922,0.03825468696931934,7.571780147662018,5.263157894736841,5.714285714285715,7.500000000000002,2.3684210526315757,4.285714285714286,2.5999999999999988,7.121212121212121,6.3396226415094334,7.121212121212121,4.9947435760288474,5.069945197901648,3.598581622764512,5.245216744638739,NT_Cowpea
NT,Cowpea,-0.5508998253850244,-0.7618988307470118,-0.6563993280660181,-0.48714804165323217,-0.5084044646802867,6.9,-0.08027460283498654,2.1,55.2,18.4,13666.666666666666,12500,10000,2213.3333333333335,10000,0.26521366328972046,0.5208423256607232,9.593429927006179,9.983537602248608,0.008055676801527186,8.720262510254306,5.263157894736841,7.142857142857145,7.500000000000002,2.3684210526315757,4.285714285714286,2.5999999999999988,7.121212121212121,6.3396226415094334,7.121212121212121,3.658034204439881,5.09354041682897,3.598581622764512,5.245216744638739,NT_Cowpea
NT,Cowpea,0.33362090327498295,0.9864159535690883,0.6600184284220356,-0.5119000750254263,-0.5255361738124364,5.8,-0.08027460283498654,1.95,55.2,18.4,13666.666666666666,12500,10000,2213.3333333333335,10000,3.5630752758897364,5.984839964675582,5.197556934128528,10,0,9.081214109926169,5.263157894736841,5,7.500000000000002,2.3684210526315757,4.285714285714286,2.5999999999999988,7.121212121212121,6.3396226415094334,7.121212121212121,5.163793205900183,5.09304624878981,3.598581622764512,5.245216744638739,NT_Cowpea
NT,Cowpea,-0.6209895924866847,-0.8896097881140314,-0.755299690300358,-0.32114440450370374,-0.37788099604522557,12.6,-0.7759878274048753,1.9,53,15.6,13166.666666666666,13000,8500,1635,8500,0.003889824434283702,0.12170804172644296,9.923684839771553,9.589223979917554,0.40023907890036947,6.849876948318294,3.1578947368421053,4.285714285714285,5.208333333333332,0,3.428571428571428,3.199999999999999,5.757575757575758,4.1572327044025155,5.757575757575758,4.878834041978573,4.6419422376744865,2.5,4.191492594081196,NT_Cowpea
NT,Cowpea,-0.5805746110400435,-0.9150889914858878,-0.7478318012629657,-0.22048613545677348,-0.30411387201738044,7.8,-0.7759878274048753,2.1,53,15.6,13166.666666666666,13000,8500,1635,8500,0.15457370505824072,0.04207804127302789,9.898747549483964,9.35012725067109,0.6218868941693267,8.424938474159147,3.1578947368421053,7.142857142857145,5.208333333333332,0,3.428571428571428,3.199999999999999,5.757575757575758,4.1572327044025155,5.757575757575758,4.8613516844983264,5.138942404609469,2.5,4.187469529457048,NT_Cowpea
NT,Cowpea,-0.5694355593583011,-0.8538821108428567,-0.7116588351005789,-0.4323635411227719,-0.45938762161041824,6.3,-0.7759878274048753,2,53,15.6,13166.666666666666,13000,8500,1635,8500,0.19610472830247488,0.23336753577662173,9.777956285280931,9.853406267642336,0.15533641088188271,8.917145200984415,3.1578947368421053,5.714285714285715,5.208333333333332,0,3.428571428571428,3.199999999999999,5.757575757575758,4.1572327044025155,5.757575757575758,3.26093977315281,4.684205143018675,2.5,4.1456714739881235,NT_Cowpea
NT,Cowpea,-0.3980043949566616,-0.42720225984819654,-0.4126033274024291,-0.2557990364011055,-0.29570421832868665,10.533,0.00668955023624968,2.2,52,16.8,11666.666666666666,10500,8000,1935,8000,0.8352714973390447,1.5668674977768946,8.779329501965021,9.434007086832962,0.6471553507051122,7.528137817883511,5.526315789473683,8.571428571428577,4.166666666666666,0.26315789473684126,0.857142857142857,0.19999999999999923,5.303030303030304,5.289308176100629,5.303030303030304,4.209181398692502,5.213304369078757,2.5000000000000004,3.8891682552341864,NT_Cowpea
NT,Cowpea,-0.5626098564461463,-0.8369269530164786,-0.6997684047313124,-0.34028597697820256,-0.36406981524192517,10.533,0.00668955023624968,2.2,52,16.8,11666.666666666666,10500,8000,1935,8000,0.2215537911493223,0.2863573881553478,9.738250939864296,9.634691554659504,0.4417374847509292,7.528137817883511,5.526315789473683,8.571428571428577,4.166666666666666,0.26315789473684126,0.857142857142857,0.19999999999999923,5.303030303030304,5.289308176100629,5.303030303030304,4.996885865608049,5.213304369078757,2.5000000000000004,3.9480119094464334,NT_Cowpea
NT,Cowpea,-0.47869372391232407,-0.7190875735313211,-0.5988906487218226,-0.1307187610936149,-0.194491088523542,10.533,0.00668955023624968,2.15,52,16.8,11666.666666666666,10500,8000,1935,8000,0.5344280779740039,0.6546400893405036,9.401392977383415,9.136900003605405,0.9512700819419648,7.528137817883511,5.526315789473683,7.857142857142858,4.166666666666666,0.26315789473684126,0.857142857142857,0.19999999999999923,5.303030303030304,5.289308176100629,5.303030303030304,4.8398800397673085,5.385558357716877,2.5000000000000004,3.9573882172407635,NT_Cowpea
NT,Millet,-0.4976356809260364,-0.5293591509357828,-0.5134974159309096,-0.37757904059230946,-0.4408988123823093,17.7,0.35454616252119453,2.1,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940,7666.666666666667,0.4638045743307637,1.2475971828890535,9.116242003120105,9.723274933036059,0.21088967022798366,5.176374077112388,6.578947368421053,7.142857142857145,4.9999999999999964,0,0,0,5,5.3081761006289305,5,5.122053906889888,5.12789201700604,2.5,3.835922199011427,NT_Millet
