Parcela,Cultura,Combo,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque.de.C_norm,Na_norm,ICV..._norm,pH_norm,P_norm,K_norm,Altura.de.Plantas_norm,Diâmetro.espiga_norm,Comprimento.espiga_norm,Número.de.plantas_ha_norm,N.total.de.espigas_ha_norm,N.de.espigas.comerciais_ha_norm,Peso.de.espigas.comerciais_ha_norm,Produtividade_norm,IPACSA,IQS_ANOVA,IQS_Fuzzy,IQS_PLS,IQS_MARS,IQS_RF,MetaIQS_Borda,pH_0_10,P_0_10,K_0_10,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha,MI_pct,MA_pct,VIB_mm_h,RP_KPa,AD_PT,qMIC,qCO2,CCO2_g_kg,CMIC_ug_g,NMIC_mg_kg
CT,Cowpea,CT_Cowpea,0.422359081694417,0.556107040147235,9.50421855063334,9.11416621623441,1.66956645814554,9.34372436423298,6.57894736842105,3.36683417085427,3.87454120787454,0,4,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,5.79884601391878,2.05365062045244,5.79884601391878,3.31591693160513,5.87830016693293,5.73642400085717,57,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0,0,10,8.88290872401242,1.66956645814554,9.24528301886792,6.57894736842105,3.36683417085427,3.87454120787454,0,1.42857142857143,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,5.79884601391878,1.68666086183301,5.79884601391878,2.77705948140856,5.87830016693297,5.73902332859741,55.6,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0,0,10,9.45752479790639,0.918633551401337,7.44052502050861,6.57894736842105,3.36683417085427,3.87454120787454,0,4,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,5.79884601391878,1.72125074564084,5.79884601391878,3.58031567341238,5.87919743701444,5.77112007416853,58.8,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0.791515169844989,1.19555449991795,8.99729174447758,8.96286894166206,1.44625325628645,9.70467596390484,0,3.36683417085427,3.87454120787454,0,5.71428571428572,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,5.7756632688631,3.18956408156709,5.7756632688631,3.37655515170882,5.77830240595531,5.83722433967098,60,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0.356671747293989,0.427737347825617,9.60221351134913,9.04988447263373,1.33925973780928,5.20918785890074,0,3.36683417085427,3.87454120787454,0,3.57142857142857,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,5.7756632688631,2.49068983494177,5.7756632688631,3.63156549590498,5.78255975222137,5.80966639938272,59,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0.156697740257547,0,9.99685837569058,9.1369000036054,1.23226621933212,8.09680065627564,0,3.36683417085427,3.87454120787454,0,2.85714285714286,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,5.7756632688631,2.5096168341938,5.7756632688631,3.00916307626609,5.78681709848743,5.8227087664305,57.6,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,1.30772835651387,2.36202670372299,8.14295691602662,9.14317139322497,1.13714741190522,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,5.71428571428572,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,5.93798832193484,5.79233894084296,5.93798832193484,6.04093570277778,6.08087548970235,6.11918852884334,83.6,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0.527158942178476,0.783669734452101,9.33571632656044,9.16590518059594,1.11065767187,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,7.85714285714286,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,6.12537403097872,5.3177517670647,6.12537403097872,6.45234684941497,6.08087548970235,6.15788014269136,84,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Cowpea,CT_Cowpea,0.0577162327358155,0.107058380650119,9.90740698700169,9.1964782049914,1.07503353871919,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,5.71428571428572,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,6.17329088755293,4.94948760445632,6.17329088755293,5.98744941199226,6.08087548970235,6.14258287712845,82.2,4.685,57.455,59.817,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Millet,CT_Millet,2.49426029393167,3.655911748983,6.92037631286494,8.8460643099974,1.33419292527445,9.21246923707957,4.47368421052631,2.71356783919598,7.11333555778,0.866729500471255,2.85714285714286,2.91666666666666,1.84210526315789,5.71428571428572,3.8,1.06060606060606,0.754716981132075,1.06060606060606,4.72216788598004,2.24657673559293,4.72216788598004,1.43796618589898,4.58524623988647,4.77492249279395,34.6,4.62,72.015,64.415,1.1433,0.6567,0.0533,1.64,1.91,3.5367,54.04,2.7267,12.9333,802.5867,21.62,12.4267,6.0,1.0867,0.27,15.6067,10.0833,159.1967,74.46,17.2367
