"","Parcela","Mean_APSWCI","Mean_Yield","Mean_SC","Mean_MrP","Mean_STAND"
"1","CT",4.87073293008406,3.68686868686869,4.96421499999799,3.51913887782171,4.2733322572618
"2","MT",5.59048236476469,5.70707070707071,5.03499937989004,5.81896170535772,5.36883991429446
"3","NT",5.17502469183448,3.68686868686869,5.0283631958469,4.60120510278516,4.90710922691234
